Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Marc Collins,ML Engineer,"Scikit-learn, TensorFlow, NLP, Keras, PyTorch",11,Master's,Microsoft Azure,Blackwellborough
Kristy Williams,Data Scientist,"Machine Learning, R, Deep Learning, Pandas, TensorFlow, Python",13,Bachelor's,AWS Certified,Parkertown
Robert Cunningham,Data Engineer,"SQL, Spark, ETL, Kafka, Python",6,Master's,Google Data Engineer,Sonyastad
Jonathan Reeves,Data Engineer,"AWS, Python, SQL",14,PhD,AWS Certified,Lake Mary
Jennifer Davis,Data Analyst,"Data Visualization, SQL, Excel, Power BI, Python, Tableau",6,PhD,AWS Certified,Lake Ashley
Matthew Moore,AI Engineer,"NLP, Deep Learning, Python",9,PhD,Google Data Engineer,Lake Douglas
Rebecca Smith,Data Scientist,"Python, TensorFlow, Deep Learning",11,PhD,AWS Certified,North Kathy
Shelly Porter,ML Engineer,"Python, TensorFlow, PyTorch, NLP, Scikit-learn, Keras",9,Bachelor's,AWS Certified,Lake Leslie
Rachel Franklin,Data Scientist,"R, Deep Learning, TensorFlow, Python, Machine Learning, Pandas",15,Bachelor's,Google Data Engineer,New Randy
Jill Adams,AI Engineer,"TensorFlow, AI Systems, Machine Learning, Python",10,PhD,Google Data Engineer,Nicolemouth
Cindy Collier,Data Engineer,"ETL, Python, SQL, Spark",2,Bachelor's,Microsoft Azure,Howardview
William Brown,Data Analyst,"SQL, Power BI, Excel, Data Visualization, Tableau, Python",13,Bachelor's,AWS Certified,Virginiashire
Christina Perkins,Data Analyst,"Tableau, Excel, Data Visualization",9,Master's,Google Data Engineer,Johnsonmouth
Rhonda Rojas,AI Engineer,"Python, Machine Learning, Deep Learning, AI Systems, TensorFlow, NLP",9,PhD,None,West Matthewville
Tiffany Jacobson,Data Engineer,"AWS, SQL, Hadoop",13,Bachelor's,Microsoft Azure,South Isabellaside
Regina Kirby,Data Analyst,"Tableau, SQL, Data Visualization, Power BI, Python, Excel",8,Bachelor's,Google Data Engineer,Rodriguezchester
James Brown,Data Analyst,"Power BI, Excel, Data Visualization, Python, SQL",3,Bachelor's,Google Data Engineer,South David
Juan Williams,Data Scientist,"Deep Learning, Python, Machine Learning, Pandas, R, TensorFlow",3,Master's,Microsoft Azure,Port Philipstad
Justin Weeks,ML Engineer,"PyTorch, Python, NLP, Keras, Scikit-learn, TensorFlow",15,Bachelor's,None,Audreyfort
Jessica Case,Data Scientist,"Pandas, Deep Learning, Machine Learning, TensorFlow",11,Master's,None,Ramseyside
Monica Love,ML Engineer,"Python, Scikit-learn, TensorFlow, Keras, NLP, PyTorch",15,PhD,AWS Certified,Chadside
Charles Collins,AI Engineer,"Deep Learning, TensorFlow, Machine Learning, NLP, Python, AI Systems",2,Master's,AWS Certified,Port Matthew
Barbara Harris,ML Engineer,"Scikit-learn, TensorFlow, NLP",11,PhD,None,West Mark
Amy Evans,Data Analyst,"SQL, Power BI, Python",9,Master's,Google Data Engineer,Steelemouth
Tracy Jones,Data Engineer,"SQL, Hadoop, Spark, Python, AWS",6,Master's,AWS Certified,Wilsonton
Kyle Smith,Data Scientist,"Machine Learning, Python, Pandas, TensorFlow",15,Bachelor's,Microsoft Azure,West Karenchester
Brandy Turner,Data Engineer,"AWS, Hadoop, Python, SQL",2,Bachelor's,Google Data Engineer,Jenniferstad
Gordon Nguyen,ML Engineer,"PyTorch, TensorFlow, NLP, Keras, Python, Scikit-learn",11,Master's,AWS Certified,Angelamouth
Bryan Nichols,ML Engineer,"Keras, TensorFlow, PyTorch, NLP",7,Master's,Microsoft Azure,Petersonmouth
Teresa Long PhD,Data Analyst,"Excel, SQL, Power BI, Tableau, Python, Data Visualization",14,Bachelor's,Microsoft Azure,North Nicole
Michael Vargas,Data Engineer,"ETL, AWS, SQL",5,PhD,AWS Certified,North Matthew
William Ramsey,AI Engineer,"TensorFlow, AI Systems, Deep Learning",14,PhD,None,Lake Jessicamouth
Brett Smith,Data Analyst,"Tableau, SQL, Excel, Data Visualization, Power BI",9,PhD,Microsoft Azure,Lake Robert
Ethan Kelly,Data Scientist,"Python, Machine Learning, TensorFlow, Deep Learning, Pandas, R",14,Master's,Microsoft Azure,East Juliahaven
Michelle Oconnor,AI Engineer,"NLP, Deep Learning, Python",12,Master's,Google Data Engineer,Port Dawnside
Jennifer Bowman,AI Engineer,"Machine Learning, Python, NLP, Deep Learning, AI Systems",6,PhD,Microsoft Azure,Thomasport
Sabrina Smith,Data Scientist,"Pandas, R, TensorFlow, Deep Learning",15,Master's,None,Lake Helen
Anthony Goodwin,Data Scientist,"R, Python, TensorFlow, Machine Learning, Pandas",12,Bachelor's,AWS Certified,Travisport
Amber Green,Data Scientist,"R, Python, Machine Learning",14,Bachelor's,Microsoft Azure,West James
James Fields,ML Engineer,"Python, TensorFlow, Keras, NLP, Scikit-learn, PyTorch",15,Bachelor's,Microsoft Azure,West Shelbymouth
Anthony Soto,AI Engineer,"AI Systems, Machine Learning, Python, NLP, TensorFlow, Deep Learning",10,Master's,None,West Travisberg
Jeremy Butler,Data Analyst,"Power BI, Python, SQL, Tableau, Data Visualization",2,Master's,AWS Certified,Carsonberg
Gregory Erickson,AI Engineer,"Deep Learning, AI Systems, TensorFlow, Python, NLP",12,PhD,None,East Lindsey
Cody Taylor,Data Engineer,"Hadoop, AWS, SQL, ETL",14,Master's,Microsoft Azure,Tuckermouth
Anthony Greene,Data Analyst,"Tableau, Power BI, Python, Data Visualization, SQL, Excel",3,PhD,AWS Certified,Christopherburgh
Christina Graham,Data Engineer,"Spark, Python, AWS, Kafka",5,PhD,AWS Certified,New Kerri
Cynthia Harris,Data Scientist,"R, TensorFlow, Deep Learning, Python, Machine Learning, Pandas",2,Bachelor's,None,Port Martinmouth
Ethan Winters,Data Analyst,"Python, Data Visualization, Excel, Power BI, Tableau",5,PhD,AWS Certified,Reevesfort
